text|en-US-AlloyTurboMultilingualNeural|en-US-AndrewMultilingualNeural|en-US-AvaMultilingualNeural|en-US-BrandonMultilingualNeural|en-US-BrianMultilingualNeural|en-US-ChristopherMultilingualNeural|en-US-CoraMultilingualNeural|en-US-DavisMultilingualNeural|label
Good morning, Nisha!|001_Good_morning_Nisha.wav |001_Good_morning_Nisha.wav |001_Good_morning_Nisha.wav |001_Good_morning_Nisha.wav |001_Good_morning_Nisha.wav |001_Good_morning_Nisha.wav |001_Good_morning_Nisha.wav |001_Good_morning_Nisha.wav |1
Hello Nisha, how are you?|002_Hello_Nisha_how_are_you.wav |002_Hello_Nisha_how_are_you.wav |002_Hello_Nisha_how_are_you.wav |002_Hello_Nisha_how_are_you.wav |002_Hello_Nisha_how_are_you.wav |002_Hello_Nisha_how_are_you.wav |002_Hello_Nisha_how_are_you.wav |002_Hello_Nisha_how_are_you.wav |1
Hi Nisha, nice to see you.|003_Hi_Nisha_nice_to_see_you.wav |003_Hi_Nisha_nice_to_see_you.wav |003_Hi_Nisha_nice_to_see_you.wav |003_Hi_Nisha_nice_to_see_you.wav |003_Hi_Nisha_nice_to_see_you.wav |003_Hi_Nisha_nice_to_see_you.wav |003_Hi_Nisha_nice_to_see_you.wav |003_Hi_Nisha_nice_to_see_you.wav |1
Good evening, Nisha.|004_Good_evening_Nisha.wav |004_Good_evening_Nisha.wav |004_Good_evening_Nisha.wav |004_Good_evening_Nisha.wav |004_Good_evening_Nisha.wav |004_Good_evening_Nisha.wav |004_Good_evening_Nisha.wav |004_Good_evening_Nisha.wav |1
What's up, Nisha?|005_Whats_up_Nisha.wav |005_Whats_up_Nisha.wav |005_Whats_up_Nisha.wav |005_Whats_up_Nisha.wav |005_Whats_up_Nisha.wav |005_Whats_up_Nisha.wav |005_Whats_up_Nisha.wav |005_Whats_up_Nisha.wav |1
Hey Nisha, long time no see.|006_Hey_Nisha_long_time_no_see.wav |006_Hey_Nisha_long_time_no_see.wav |006_Hey_Nisha_long_time_no_see.wav |006_Hey_Nisha_long_time_no_see.wav |006_Hey_Nisha_long_time_no_see.wav |006_Hey_Nisha_long_time_no_see.wav |006_Hey_Nisha_long_time_no_see.wav |006_Hey_Nisha_long_time_no_see.wav |1
Morning, Nisha!|007_Morning_Nisha.wav |007_Morning_Nisha.wav |007_Morning_Nisha.wav |007_Morning_Nisha.wav |007_Morning_Nisha.wav |007_Morning_Nisha.wav |007_Morning_Nisha.wav |007_Morning_Nisha.wav |1
Good night, Nisha.|008_Good_night_Nisha.wav |008_Good_night_Nisha.wav |008_Good_night_Nisha.wav |008_Good_night_Nisha.wav |008_Good_night_Nisha.wav |008_Good_night_Nisha.wav |008_Good_night_Nisha.wav |008_Good_night_Nisha.wav |1
Hi there, Nisha.|009_Hi_there_Nisha.wav |009_Hi_there_Nisha.wav |009_Hi_there_Nisha.wav |009_Hi_there_Nisha.wav |009_Hi_there_Nisha.wav |009_Hi_there_Nisha.wav |009_Hi_there_Nisha.wav |009_Hi_there_Nisha.wav |1
How’s it going, Nisha?|010_Hows_it_going_Nisha.wav |010_Hows_it_going_Nisha.wav |010_Hows_it_going_Nisha.wav |010_Hows_it_going_Nisha.wav |010_Hows_it_going_Nisha.wav |010_Hows_it_going_Nisha.wav |010_Hows_it_going_Nisha.wav |010_Hows_it_going_Nisha.wav |1
