text|en-US-AlloyTurboMultilingualNeural|en-US-AndrewMultilingualNeural|en-US-AvaMultilingualNeural|en-US-BrandonMultilingualNeural|en-US-BrianMultilingualNeural|en-US-ChristopherMultilingualNeural|en-US-CoraMultilingualNeural|en-US-DavisMultilingualNeural|label
Hey, did you finish that homework yet?|001_Hey_did_you_finish_that_homework_yet.wav|001_Hey_did_you_finish_that_homework_yet.wav|001_Hey_did_you_finish_that_homework_yet.wav|001_Hey_did_you_finish_that_homework_yet.wav|001_Hey_did_you_finish_that_homework_yet.wav|001_Hey_did_you_finish_that_homework_yet.wav|001_Hey_did_you_finish_that_homework_yet.wav|001_Hey_did_you_finish_that_homework_yet.wav|0
I can’t believe the match ended like that yesterday.|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|002_I_cant_believe_the_match_ended_like_that_yesterday.wav|0
Who’s bringing snacks for the party tonight?|003_Whos_bringing_snacks_for_the_party_tonight.wav|003_Whos_bringing_snacks_for_the_party_tonight.wav|003_Whos_bringing_snacks_for_the_party_tonight.wav|003_Whos_bringing_snacks_for_the_party_tonight.wav|003_Whos_bringing_snacks_for_the_party_tonight.wav|003_Whos_bringing_snacks_for_the_party_tonight.wav|003_Whos_bringing_snacks_for_the_party_tonight.wav|003_Whos_bringing_snacks_for_the_party_tonight.wav|0
Let’s meet at the café at 6 and grab some coffee.|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|004_Lets_meet_at_the_caf_at_6_and_grab_some_coffee.wav|0
I forgot my charger at home again.|005_I_forgot_my_charger_at_home_again.wav|005_I_forgot_my_charger_at_home_again.wav|005_I_forgot_my_charger_at_home_again.wav|005_I_forgot_my_charger_at_home_again.wav|005_I_forgot_my_charger_at_home_again.wav|005_I_forgot_my_charger_at_home_again.wav|005_I_forgot_my_charger_at_home_again.wav|005_I_forgot_my_charger_at_home_again.wav|0
Can someone pass the ketchup, please?|006_Can_someone_pass_the_ketchup_please.wav|006_Can_someone_pass_the_ketchup_please.wav|006_Can_someone_pass_the_ketchup_please.wav|006_Can_someone_pass_the_ketchup_please.wav|006_Can_someone_pass_the_ketchup_please.wav|006_Can_someone_pass_the_ketchup_please.wav|006_Can_someone_pass_the_ketchup_please.wav|006_Can_someone_pass_the_ketchup_please.wav|0
Did you hear what happened in class today? It was hilarious.|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|007_Did_you_hear_what_happened_in_class_today_It_was_hilarious.wav|0
I think we should try that new restaurant downtown.|008_I_think_we_should_try_that_new_restaurant_downtown.wav|008_I_think_we_should_try_that_new_restaurant_downtown.wav|008_I_think_we_should_try_that_new_restaurant_downtown.wav|008_I_think_we_should_try_that_new_restaurant_downtown.wav|008_I_think_we_should_try_that_new_restaurant_downtown.wav|008_I_think_we_should_try_that_new_restaurant_downtown.wav|008_I_think_we_should_try_that_new_restaurant_downtown.wav|008_I_think_we_should_try_that_new_restaurant_downtown.wav|0
This song is stuck in my head all day.|009_This_song_is_stuck_in_my_head_all_day.wav|009_This_song_is_stuck_in_my_head_all_day.wav|009_This_song_is_stuck_in_my_head_all_day.wav|009_This_song_is_stuck_in_my_head_all_day.wav|009_This_song_is_stuck_in_my_head_all_day.wav|009_This_song_is_stuck_in_my_head_all_day.wav|009_This_song_is_stuck_in_my_head_all_day.wav|009_This_song_is_stuck_in_my_head_all_day.wav|0
Why is the bus always late no matter what time I leave?|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|010_Why_is_the_bus_always_late_no_matter_what_time_I_leave.wav|0
